sub_id,sub_dataset,gw_st,st_id,pairing_method,distance_m,gw_zone
YSLL,ls-wra-gnss-obs,9160211,st60,nn-within-zone,109.15461826693937,50
TKJS,ls-wra-gnss-obs,9030411,st19,nn-within-zone,3385.879433899064,50
KTES,ls-wra-gnss-obs,9170311,st35,nn-within-zone,1341.9829023186971,50
GFES,ls-wra-gnss-obs,9030311,st18,nn-within-zone,844.8687164442268,50
HNES,ls-wra-gnss-obs,7110111,st45,nn-within-zone,170.9121535907813,50
SSES,ls-wra-gnss-obs,7200111,st46,nn-within-zone,109.79307831109438,50
SJES,ls-wra-gnss-obs,7260211,st51,nn-within-zone,346.82692138012385,50
HLES,ls-wra-gnss-obs,9050111,st20,co-located,0.0,50
NTUH,ls-wra-gnss-obs,9030311,st18,nn-within-zone,1888.3688159852634,50
MDES,ls-wra-gnss-obs,9180311,st38,co-located,0.0,50
FRES,ls-wra-gnss-obs,9120111,st31,nn-within-zone,137.76545199718166,50
SLES,ls-wra-gnss-obs,9200111,st40,nn-within-zone,108.47601214089055,50
YWJS,ls-wra-gnss-obs,9200211,st41,nn-within-zone,2786.0826076012495,50
LNJS,ls-wra-gnss-obs,9090511,st27,nn-within-zone,2599.867397103871,50
CHSG,ls-wra-gnss-obs,7240212,st50,co-located,0.0,50
STES,ls-wra-gnss-obs,9050211,st21,nn-within-zone,832.8208200964582,50
YCES,ls-wra-gnss-obs,9180411,st39,nn-within-zone,3764.3053185527974,50
ANES,ls-wra-gnss-obs,9140111,st59,co-located,0.0,50
NGES,ls-wra-gnss-obs,9180211,st37,co-located,0.0,50
LYES,ls-wra-gnss-obs,9150111,st34,nn-within-zone,377.5481359573653,50
XPES,ls-wra-gnss-obs,9060111,st55,nn-within-zone,10949.688278750964,50
JMES,ls-wra-gnss-obs,9030411,st19,nn-within-zone,857.0556880279204,50
SNES,ls-wra-gnss-obs,9050111,st20,nn-within-zone,3846.4711483124324,50
TCBS,ls-wra-gnss-obs,9200311,st42,nn-within-zone,7296.986255907003,50
JJES,ls-wra-gnss-obs,9080211,st25,co-located,0.0,50
新生國小,ls-wra-mlcw-obs,7200111,st46,nn-within-zone,119.51092496089841,50
湖南國小,ls-wra-mlcw-obs,7110111,st45,nn-within-zone,169.277794955441,50
溪州國小,ls-wra-mlcw-obs,7260211,st51,nn-within-zone,435.4373129557413,50
僑義國小,ls-wra-mlcw-obs,7260311,st13,nn-within-zone,885.9221547968592,50
元長國小,ls-wra-mlcw-obs,9180411,st39,nn-within-zone,3752.374982139291,50
客厝國小,ls-wra-mlcw-obs,9170311,st35,nn-within-zone,1341.336701158937,50
內寮派駐站,ls-wra-mlcw-obs,9170111,st61,co-located,0.0,50
土庫國中,ls-wra-mlcw-obs,9030411,st19,nn-within-zone,3381.2117139304487,50
秀潭國小,ls-wra-mlcw-obs,9050211,st21,nn-within-zone,857.1983139892678,50
宏崙國小,ls-wra-mlcw-obs,9050111,st20,co-located,0.0,50
光復國小,ls-wra-mlcw-obs,9030311,st18,nn-within-zone,846.3128078825387,50
拯民國小,ls-wra-mlcw-obs,9030411,st19,nn-within-zone,845.4475278934012,50
嘉興國小,ls-wra-mlcw-obs,9080111,st24,co-located,0.0,50
北辰國小,ls-wra-mlcw-obs,9060111,st55,nn-within-zone,341.36743604088787,50
TKJS(1),ls-wra-dbm-obs,9030411,st19,nn-within-zone,3472.03424672345,50
TKJS(2),ls-wra-dbm-obs,9030411,st19,nn-within-zone,3481.4022721341,50
TKJS(3),ls-wra-dbm-obs,9030411,st19,nn-within-zone,3481.4022721341,50
STES,ls-wra-dbm-obs,9050211,st21,nn-within-zone,838.7421352871442,50
SJES,ls-wra-dbm-obs,7260211,st51,nn-within-zone,407.24506485663574,50
NTUH(1),ls-wra-dbm-obs,9030311,st18,nn-within-zone,464.21277287149076,50
NTUH(2),ls-wra-dbm-obs,9030311,st18,nn-within-zone,466.19616739848794,50
WNES,ls-wra-dbm-obs,9060111,st55,nn-within-zone,8703.682500074114,50
