st_id,gw_st,ups_id,rf_id,group_name,rain_lag_days,up_lag_days,model,rmse,r2,kge,rmse_val,r2_val,kge_val,kge_r_val,kge_alpha_val,kge_beta_val,bias_val,aic,a,z0,z1,b,c,k_link,lambda,tau_rain,tau_up,d_sin,d_cos,a_std,z0_std,z1_std,b_std,c_std,k_link_std,lambda_std,tau_rain_std,tau_up_std,d_sin_std,d_cos_std,z,z_std,k_sgd,gamma,h_sea,k_sgd_std,gamma_std,h_sea_std
st1,7010211,st44,rf6,inland,0,0,filtered_tz,0.6676518086154223,0.586348044725324,0.6232554465366796,0.8951406398828317,0.4676131642463089,0.4323110317969103,0.7055079894384176,0.5618230008381593,1.208677113599958,-0.1194675908476572,-2043.9971170376723,0.0543140314850946,-4.299166666367228,-0.292810693435857,0.0031224375542556,2.276072727247845,0.0133571459569249,1.946678878680842,1.3382050433434356,0.7999999967497979,-0.0298418454237111,0.0297623917475139,0.0071396387575344,0.6616295786021312,0.0366418635332346,0.0005050227976062,0.1506272359733906,0.0060032337456192,0.5194336915213742,0.3449096328133571,0.70880496513089,0.0018834593061332,0.0024883417936123,,,,,,,,
st10,7220211,st13,rf3,inland,0,0,base,0.3933564279650802,0.7280649946394734,0.764275844286148,1.1081192861385547,-1.9647654984861735,0.5966281569086044,0.6370720704310945,0.8355457991820592,1.0628249756952557,0.9826171061479004,-4753.562145333088,0.0031034770092021,,,0.0029099698390575,0.1223855670522537,2.6046911831152116e-17,,0.1000064146938413,5.623183556487242,-0.0001799055806881,0.0054705924889542,0.0003239461812544,,,0.0004614597685072,0.0223898917147564,3.816647417884138e-05,,34.979433735852346,2.0905670778996598e-13,0.0002093192223286,0.0003029874886676,13.330416666666668,1.165102431501133,,,,,,
st11,7230211,st46,rf6,coastal,0,0,filtered,1.5485014978021745,0.5226278798914303,0.5822541058469688,2.438314124083745,-1.5550394012444877,0.5895511782111669,0.8469303790334801,1.0478719638944118,1.3778176829079063,-2.2789425171619673,2262.2892348502105,1.1975465671673298e-11,,,0.0087476817329083,1.7399688638577782e-10,0.4481548044132141,1.9423472631514904,29.99999999999982,0.7999999999891537,0.0742257994044041,0.1017728129496583,345741.0788349877,,,0.0020206905249623,1.6361304617468275,0.1719995817359,0.1091945150575924,3.1151786757076314,0.656900591579055,0.0611958002047662,0.0710819761773345,-0.9995927995044748,0.0040061316940181,0.499999999961682,0.4151359033102939,-17.86658118883524,345741.073354233,1.180697695336394,11663221.5294255
st12,7250111,st10,rf4,inland,0,0,filtered_tz,0.2883155449172675,0.7760250642085317,0.8227941215248659,0.3773797725976551,0.4903129863321606,0.891516170847046,0.914833898907552,1.0633603246147825,0.9776181842312196,-0.3011385032967038,-6338.280554997048,0.0063562822298047,11.610151048606133,-0.4383584172285971,0.0015183904257391,0.3193106782804252,0.009528665940069,1.9914187341068128,0.1000000009606239,0.3171446340203177,-0.0021793919684762,0.0015187919416771,0.0023179541439628,3.9280398661956486,0.1537447199882673,0.000400691314638,0.0659141296594753,0.0021776772362923,0.0681628731578775,58.285046035780006,0.5144026928832032,0.0002206380240904,0.000298132889079,,,,,,,,
st13,7260311,st51,rf3,inland,0,0,filtered_tz,0.2794317955474367,0.8450456749292237,0.857216195900822,0.4915472834864302,0.5129305567313089,0.7108747127418815,0.8335258563888699,0.7640003047035955,1.0135622660729908,0.296317779748275,-6498.334858732453,0.0038877052084159,19.951250000000005,-0.0433838700428662,0.0016730000646559,0.0955463911717912,3.0379838750387396e-37,1.772988276976049,1.1485311050825298,0.1900342907944652,-0.0033032271625737,0.0040123185170917,0.0001485165077734,0.2815880978554821,0.0115933303379121,0.0001866662117605,0.0264202327396429,0.0002308379111298,4.755996213181051e-17,0.206913358414213,9.467609540869928e-17,0.00016743698371,0.0002476440005582,,,,,,,,
st14,7260511,st27,rf25,inland,1,0,base_tz,0.3091045777450056,0.9765961654775404,0.978880192178703,0.297868191848693,0.971820952137598,0.9230419538543264,0.9881351878193592,0.923969622157575,1.0010717945772654,0.0385905697626256,-5981.874569633382,0.497178406310293,33.18750000000001,-0.0926395752691386,0.002015349716577,0.3667797195671848,1.059208342327343,,4.769522215266449,0.1000000000000004,-0.1751674898076467,-0.2023469093389438,0.0471340531381433,0.4582870412389054,0.0134920932877801,0.0002968451496506,1.278603840654736,0.0994085481833699,,1.180196973111976,1.3994214879839788,0.0280258273007546,0.0247703684593205,,,,,,,,
st15,7260611,st23,rf25,inland,4,0,base,0.7455972040062853,0.9029962855542218,0.914645834770365,0.911818615694336,0.8172244134115759,0.881693489271885,0.94428518143603,0.8968047085793,1.0155891405036417,0.5730664883051517,-1480.9672232013777,0.0082547013065772,,,0.0021067683468756,3.717510747320864e-07,3.1503947903722346e-12,,3.095126139962556,0.1001558773861722,-0.0017244497792084,0.0008549542273058,0.0002074473045785,,,0.0001642482609061,0.0173907766801819,0.0001530580827467,,0.2969402208971726,7.327860939205986e-16,0.0006015240529674,0.0008313995828284,33.340166720958266,0.3549865464761523,,,,,,
st16,9020111,st23,rf20,inland,0,40,base_tz,0.2556481269049059,0.7441897205892987,0.8053573089928072,0.2809206315697916,0.7146146001738127,0.7345434375559148,0.888503832630307,0.7591122767705244,1.0029826169414566,0.1267329691923038,-6846.140833054361,1.2615512256465715,42.15049354180567,-0.0036829964558227,0.0030651904770209,0.5139874362792884,0.0199157139944744,,20.33462276274731,0.1000000087939307,-0.3191241717286021,-0.1729324841598448,0.1018718796771743,0.1435442510038245,0.0026936748850194,0.0002449990688657,0.7621563873615668,0.0053128002934242,,1.0079907281367022,46.0301994808418,0.0289810258023834,0.0220815299781661,,,,,,,,
st17,9030111,st57,rf4,inland,0,0,base_tz,0.5554001912751226,0.8075892387225113,0.854224399257559,0.792004943081168,0.5713256390452084,0.7187807066480179,0.7756403484015586,0.8311314513402437,0.9848193886301724,-0.1995504610612783,-2987.3713635970685,0.0055025438579795,10.130000000000411,-0.3537401098728572,0.000540767617316,0.0999999999999999,0.0011277345787827,,7.535261042116629,0.100002381162195,-0.0167335595621432,0.0090949655874746,0.0027899371701118,4.899499285725766,0.1775690389270814,4.528109442605216e-05,0.0483523928074776,0.0027853135769113,,0.7336852644764382,529.5296919110064,0.0003657915065193,0.0006362924582591,,,,,,,,
st18,9030311,st54,rf22,inland,0,0,filtered_tz,0.1820982602384301,0.8880654996178479,0.9005010800788268,0.5015472699779443,0.1638218195971768,0.7633063576302188,0.8905740424260776,0.7926478582520404,1.0324796776436913,0.4317744867935946,-8688.210039335541,0.6972865496285272,11.85583382404317,-0.0283328030553671,0.0016541122063149,1.4093232460717948,0.3887696670232122,0.4333678067155646,29.999854536268145,0.0102059966651474,-0.2870837465813415,0.1080214673592606,0.0755282099892316,0.0717284498443005,0.0029573361968118,0.0001821157161898,0.423460760140067,0.0444288001694706,0.0405965135737501,1.7238430994881346,1.7996421365488505e-15,0.0318099408659718,0.0148444447765191,,,,,,,,
st19,9030411,st24,rf16,inland,5,6,filtered,0.5419328086966122,0.8924823729761746,0.9216262080359106,0.5461362590506319,0.9049306192697636,0.9018445544813548,0.9601126331479234,1.0896424825332736,0.9972224514687748,-0.0183790197782611,-3105.552824059763,1.149074224892788,,,0.0022386191287193,10.58446139356653,0.5543186894211704,0.1,29.999999999999996,0.7999999999999999,-0.1918896032407683,0.5174362878524227,0.1417657142069155,,,0.0003818286917291,22.982022111326245,0.0721340154949103,0.0032045909696136,7.967401673898691,0.0690208631148065,0.0462417003671381,0.07773854764946,4.438579341532806,0.1030116768431185,,,,,,
